alpha,N=100,N=200,N=400,N=800,N=1600
0.1,2.0982e-01,3.0597e-02,1.2304e-02,9.0979e-03,7.4808e-03
0.2,2.1327e-01,3.1812e-02,1.1318e-02,8.0991e-03,6.4754e-03
0.3,2.1858e-01,3.2394e-02,1.0690e-02,7.1919e-03,5.5622e-03
0.4,2.2660e-01,3.4454e-02,9.8705e-03,6.2970e-03,4.7380e-03
0.5,2.3615e-01,3.8536e-02,9.9549e-03,5.0421e-03,3.8822e-03
0.6,2.5279e-01,4.3100e-02,1.0855e-02,4.6005e-03,2.8521e-03
0.7,2.5475e-01,4.4445e-02,1.2046e-02,5.9009e-03,3.6609e-03
0.8,2.7037e-01,5.5066e-02,1.5158e-02,5.7945e-03,4.1220e-03
0.9,3.0436e-01,6.3270e-02,2.0038e-02,6.1659e-03,2.7922e-03
1.0,3.3477e-01,8.4171e-02,2.7245e-02,8.4501e-03,2.9914e-03

alpha,rate(N=100->200),rate(N=200->400),rate(N=400->800),rate(N=800->1600)
0.1,2.78,1.31,0.44,0.28
0.2,2.75,1.49,0.48,0.32
0.3,2.75,1.60,0.57,0.37
0.4,2.72,1.80,0.65,0.41
0.5,2.62,1.95,0.98,0.38
0.6,2.55,1.99,1.24,0.69
0.7,2.52,1.88,1.03,0.69
0.8,2.30,1.86,1.39,0.49
0.9,2.27,1.66,1.70,1.14
1.0,1.99,1.63,1.69,1.50
