alpha,N=100,N=200,N=400,N=800,N=1600
0.1,1.3057e-01,5.5113e-02,1.1925e-02,3.2538e-03,4.0072e-03
0.2,1.4057e-01,5.1112e-02,1.1318e-02,2.9783e-03,3.0648e-03
0.3,1.5252e-01,4.6254e-02,1.0657e-02,2.6642e-03,2.2211e-03
0.4,1.6811e-01,4.0358e-02,9.6952e-03,2.3928e-03,1.5650e-03
0.5,1.9011e-01,3.9633e-02,9.1944e-03,2.4108e-03,1.4703e-03
0.6,2.2434e-01,4.3072e-02,9.6748e-03,2.4266e-03,1.4979e-03
0.7,2.8333e-01,5.5682e-02,1.3258e-02,3.3795e-03,1.2617e-03
0.8,3.8639e-01,1.0018e-01,2.4829e-02,7.0017e-03,1.9634e-03
0.9,5.5182e-01,1.7090e-01,4.9685e-02,1.6149e-02,4.9463e-03
1.0,7.1695e-01,3.6793e-01,1.3061e-01,4.0081e-02,1.3850e-02

alpha,rate(N=100->200),rate(N=200->400),rate(N=400->800),rate(N=800->1600)
0.1,1.24,2.21,1.87,-0.30
0.2,1.46,2.18,1.93,-0.04
0.3,1.72,2.12,2.00,0.26
0.4,2.06,2.06,2.02,0.61
0.5,2.26,2.11,1.93,0.71
0.6,2.38,2.15,2.00,0.70
0.7,2.35,2.07,1.97,1.42
0.8,1.95,2.01,1.83,1.83
0.9,1.69,1.78,1.62,1.71
1.0,0.96,1.49,1.70,1.53
